GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME
Bahrain,05-Mar-23,Max Verstappen,RED BULL RACING,57,33:56.7
Saudi Arabia,19-Mar-23,Sergio Perez,RED BULL RACING,50,21:14.9
Australia,02-Apr-23,Max Verstappen,RED BULL RACING,58,32:38.4
Azerbaijan,30-Apr-23,Sergio Perez,RED BULL RACING,51,32:42.4
Miami,07-May-23,Max Verstappen,RED BULL RACING,57,27:38.2
Monaco,28-May-23,Max Verstappen,RED BULL RACING,78,48:52.0
Spain,04-Jun-23,Max Verstappen,RED BULL RACING,66,27:57.9
Canada,18-Jun-23,Max Verstappen,RED BULL RACING,70,33:58.3
Austria,02-Jul-23,Max Verstappen,RED BULL RACING,71,25:33.6
Great Britain,09-Jul-23,Max Verstappen,RED BULL RACING,52,25:16.9
Hungary,23-Jul-23,Max Verstappen,RED BULL RACING,70,38:08.6
Belgium,30-Jul-23,Max Verstappen,RED BULL RACING,44,22:30.4
Netherlands,27-Aug-23,Max Verstappen,RED BULL RACING,72,24:04.4
Italy,03-Sep-23,Max Verstappen,RED BULL RACING,51,13:41.1
Singapore,17-Sep-23,Carlos Sainz,FERRARI,62,46:37.4
Japan,24-Sep-23,Max Verstappen,RED BULL RACING,53,30:58.4
Qatar,08-Oct-23,Max Verstappen,RED BULL RACING,57,27:39.2
United States,22-Oct-23,Max Verstappen,RED BULL RACING,56,35:21.4
Mexico,29-Oct-23,Max Verstappen,RED BULL RACING,71,02:30.8
Brazil,05-Nov-23,Max Verstappen,RED BULL RACING,71,56:48.9
Las Vegas,18-Nov-23,Max Verstappen,RED BULL RACING,50,29:08.3
Abu Dhabi,26-Nov-23,Max Verstappen,RED BULL RACING,58,27:02.6
